isbuyer,buy_freq,visit_freq,buy_interval,sv_interval,expected_time_buy,expected_time_visit,last_buy,last_visit,multiple_buy,multiple_visit,uniq_urls,num_checkins,y_pre_4_ensemble,y_proba_4_ensemble_for_0,y_proba_4_ensemble_for_1,stacking_cluster_pred,stacking_cluster_proba_for_0,stacking_cluster_proba_for_1,stacking_rus_pred,stacking_rus_proba_for_0,stacking_rus_proba_for_1
0,,1,0.0,0.0,0.0,0.0,72,72,0,0,154,1100,0,0.84075,0.15925,0,0.7216293601322015,0.2783706398677985,0,0.7117864092182496,0.28821359078175035
0,,1,0.0,0.0,0.0,0.0,5,5,0,0,4,12,0,0.32800000000000007,0.672,0,0.37593281837631964,0.6240671816236804,0,0.4660144682658963,0.5339855317341037
0,,1,0.0,0.0,0.0,0.0,42,42,0,0,42,110,0,0.30425,0.69575,0,0.35798128947983354,0.6420187105201665,0,0.44724635051355566,0.5527536494864443
0,,2,0.0,29.79167,0.0,-106.1883,121,121,0,1,101,401,0,0.7707499999999999,0.22925,0,0.6912484048802325,0.30875159511976746,0,0.6785209549586906,0.3214790450413095
0,,2,0.0,21.33333,0.0,-108.323,118,118,0,1,163,891,0,0.724,0.276,0,0.6634374818954722,0.3365625181045277,0,0.6554774551477582,0.34452254485224176
0,,1,0.0,0.0,0.0,0.0,19,19,0,0,16,48,0,0.4355,0.5645,0,0.42626025290326175,0.5737397470967383,0,0.5503231554202268,0.44967684457977314
0,,1,0.0,0.0,0.0,0.0,81,81,0,0,32,177,0,0.774,0.22599999999999998,0,0.6777486542606528,0.32225134573934716,0,0.6974592712056777,0.30254072879432226
0,,1,0.0,0.0,0.0,0.0,36,36,0,0,76,163,0,0.654,0.34600000000000003,0,0.6024047847407799,0.39759521525922015,0,0.648820375023376,0.351179624976624
0,,1,0.0,0.0,0.0,0.0,70,70,0,0,168,1317,0,0.7785,0.2215,0,0.6934993594009486,0.3065006405990513,0,0.6861598926504253,0.31384010734957474
0,,2,0.0,133.125,0.0,50.474090000000004,16,16,0,1,67,396,0,0.9400000000000001,0.06,0,0.762798677496706,0.23720132250329398,0,0.7734712157017319,0.22652878429826803
0,,2,0.0,15.75,0.0,-32.3082,40,40,0,1,95,121,0,0.65425,0.34575,0,0.5849985748888161,0.4150014251111839,0,0.6727767764383177,0.3272232235616824
0,,1,0.0,0.0,0.0,0.0,152,152,0,0,93,435,0,0.94825,0.05175,0,0.7629328568023804,0.23706714319761954,0,0.7741896266722423,0.2258103733277577
0,,1,0.0,0.0,0.0,0.0,118,118,0,0,69,136,0,0.81925,0.18075000000000002,0,0.6868349317365077,0.3131650682634924,0,0.7519979441728623,0.24800205582713772
0,,1,0.0,0.0,0.0,0.0,66,66,0,0,87,585,0,0.9225000000000001,0.0775,0,0.7441938719459686,0.2558061280540313,0,0.7694285578214946,0.2305714421785054
0,,1,0.0,0.0,0.0,0.0,53,53,0,0,110,354,0,0.975,0.025,0,0.7783117606390743,0.22168823936092574,0,0.7869180805153468,0.2130819194846532
0,,2,0.0,0.375,0.0,-1.345821,1,1,0,1,-1,359,1,0.0995,0.9005000000000001,1,0.2758089855345861,0.7241910144654139,0,0.30175156470841835,0.6982484352915816
0,,1,0.0,0.0,0.0,0.0,37,37,0,0,31,73,0,0.27999999999999997,0.72,0,0.3378303786926533,0.6621696213073467,0,0.43816318393281284,0.5618368160671872
0,,1,0.0,0.0,0.0,0.0,1,1,0,0,120,152,0,0.2915,0.7084999999999999,0,0.3461671332921833,0.6538328667078167,0,0.4566875613531175,0.5433124386468825
0,,1,0.0,0.0,0.0,0.0,87,87,0,0,84,510,0,0.877,0.123,0,0.7232679106630266,0.27673208933697335,0,0.7533304801378677,0.2466695198621322
0,,1,0.0,0.0,0.0,0.0,161,161,0,0,79,1968,0,0.643,0.357,0,0.5997538514623912,0.4002461485376087,0,0.6164905668041003,0.38350943319589975
0,,1,0.0,0.0,0.0,0.0,172,172,0,0,173,1814,0,0.50775,0.49224999999999997,0,0.5315940553541878,0.4684059446458122,0,0.5445860976192236,0.4554139023807764
