,isbuyer,buy_freq,visit_freq,buy_interval,sv_interval,expected_time_buy,expected_time_visit,last_buy,last_visit,multiple_buy,multiple_visit,uniq_urls,num_checkins,y_buy
1,0,NA,1,0,0,0,0,106,106,0,0,169,2130,0
2,0,NA,1,0,0,0,0,6,6,0,0,150,539,0
3,0,NA,2,0,0.5,0,-101.1493,101,101,0,1,103,362,0
4,0,NA,1,0,0,0,0,42,42,0,0,17,35,0
5,0,NA,3,0,45.47917,0,-34.14473,64,64,0,1,100,298,0
6,0,NA,1,0,0,0,0,13,13,0,0,53,247,0
7,1,1,2,0,0.9583333,0,-20.6712,21,21,0,1,65,175,0
8,0,NA,1,0,0,0,0,151,151,0,0,24,198,0
9,0,NA,1,0,0,0,0,68,68,0,0,64,305,0
10,0,NA,2,0,15.95833,0,-6.683471,14,14,0,1,101,1105,0
11,0,NA,1,0,0,0,0,19,19,0,0,30,76,0
12,0,NA,2,0,27.25,0,-124.61,138,138,0,1,172,828,0
13,0,NA,3,0,8.395833,0,2.534722,3,3,0,1,146,398,0
14,0,NA,1,0,0,0,0,9,9,0,0,-1,26,0
15,0,NA,1,0,0,0,0,145,145,0,0,179,1215,0
16,0,NA,8,0,15.99405,0,12.56926,1,1,0,1,64,167,0
17,0,NA,1,0,0,0,0,39,39,0,0,165,3883,0
18,0,NA,1,0,0,0,0,34,34,0,0,96,219,0
19,0,NA,1,0,0,0,0,135,135,0,0,143,1011,0
20,0,NA,1,0,0,0,0,77,77,0,0,81,219,0
21,0,NA,3,0,0.1458333,0,0.0709847,0,0,0,1,13,113,0
22,0,NA,1,0,0,0,0,181,181,0,0,30,143,0
23,0,NA,2,0,34.95833,0,-55.56098,73,73,0,1,69,284,0
24,0,NA,1,0,0,0,0,20,20,0,0,3,21,0
25,0,NA,1,0,0,0,0,65,65,0,0,188,2692,0
26,0,NA,1,0,0,0,0,72,72,0,0,22,95,0
27,0,NA,1,0,0,0,0,127,127,0,0,68,823,0
28,0,NA,1,0,0,0,0,13,13,0,0,26,206,0
29,0,NA,2,0,3.958333,0,-161.5957,163,163,0,1,67,321,0
30,0,NA,1,0,0,0,0,30,30,0,0,15,183,0
31,0,NA,1,0,0,0,0,1,1,0,0,37,491,0
32,0,NA,2,0,17.83333,0,-66.12279,75,75,0,1,22,109,0
33,0,NA,1,0,0,0,0,52,52,0,0,124,698,0
34,0,NA,1,0,0,0,0,146,146,0,0,206,8234,0
35,0,NA,3,0,26.77083,0,-96.89964,114,114,0,1,69,734,0
36,0,NA,1,0,0,0,0,26,26,0,0,12,51,0
37,0,NA,3,0,5.708333,0,-13.23332,17,17,0,1,14,50,0
38,0,NA,1,0,0,0,0,97,97,0,0,106,451,0
39,0,NA,1,0,0,0,0,92,92,0,0,96,436,0
40,0,NA,1,0,0,0,0,98,98,0,0,10,52,0
41,0,NA,1,0,0,0,0,77,77,0,0,57,189,0
42,0,NA,2,0,0.0416667,0,-55.91903,55,55,0,1,88,302,0
43,0,NA,1,0,0,0,0,140,140,0,0,14,46,0
44,0,NA,1,0,0,0,0,164,164,0,0,165,288,0
45,0,NA,1,0,0,0,0,92,92,0,0,67,157,0
46,0,NA,3,0,84.375,0,49.08807,7,7,0,1,155,3167,0
47,0,NA,1,0,0,0,0,38,38,0,0,145,735,0
48,0,NA,1,0,0,0,0,21,21,0,0,22,118,0
49,0,NA,1,0,0,0,0,23,23,0,0,43,413,0
50,0,NA,1,0,0,0,0,0,0,0,0,-1,99,0
51,0,NA,8,0,9.023809,0,-8.645671,16,16,0,1,0,712,0
52,0,NA,1,0,0,0,0,45,45,0,0,27,236,0
53,0,NA,1,0,0,0,0,11,11,0,0,33,55,0
54,1,1,3,0,0.4375,0,-0.7703708,1,1,0,1,101,395,0
55,0,NA,1,0,0,0,0,152,152,0,0,72,101,0
56,0,NA,1,0,0,0,0,12,12,0,0,115,284,0
57,0,NA,1,0,0,0,0,22,22,0,0,135,821,0
58,0,NA,3,0,15.41667,0,-9.89163,20,20,0,1,37,171,0
59,0,NA,1,0,0,0,0,4,4,0,0,169,815,0
60,0,NA,1,0,0,0,0,134,134,0,0,15,98,0
61,0,NA,2,0,27.29167,0,12.97609,0,0,0,1,125,1017,0
62,0,NA,2,0,26.08333,0,-45.22265,58,58,0,1,0,345,0
63,0,NA,1,0,0,0,0,168,168,0,0,164,1163,0
64,0,NA,2,0,2.833333,0,-84.58539,86,86,0,1,174,1538,0
65,0,NA,2,0,18.83333,0,1.650208,7,7,0,1,26,185,0
66,0,NA,1,0,0,0,0,86,86,0,0,171,1066,0
67,0,NA,1,0,0,0,0,118,118,0,0,115,2569,0
68,0,NA,1,0,0,0,0,4,4,0,0,9,491,0
69,0,NA,1,0,0,0,0,170,170,0,0,187,1452,0
70,0,NA,2,0,92.75,0,43.58767,2,2,0,1,133,6588,0
71,0,NA,1,0,0,0,0,44,44,0,0,138,192,0
72,0,NA,5,0,1.979167,0,-45.52714,47,47,0,1,164,253,0
73,0,NA,1,0,0,0,0,178,178,0,0,79,520,0
74,0,NA,1,0,0,0,0,81,81,0,0,1,9,0
75,0,NA,1,0,0,0,0,21,21,0,0,81,162,0
76,0,NA,1,0,0,0,0,52,52,0,0,94,1362,0
77,0,NA,2,0,8.958333,0,-58.69824,63,63,0,1,81,256,0
78,0,NA,2,0,9.083333,0,2.575404,1,1,0,1,5,326,0
79,0,NA,3,0,40.58333,0,-55.13412,82,82,0,1,25,50,0
80,0,NA,2,0,1.958333,0,-45.89526,46,46,0,1,52,375,0
81,0,NA,1,0,0,0,0,4,4,0,0,126,184,0
82,0,NA,1,0,0,0,0,181,181,0,0,151,371,0
83,0,NA,1,0,0,0,0,128,128,0,0,170,594,0
84,1,1,2,0,1.083333,0,-34.03693,34,34,0,1,0,1775,0
85,0,NA,1,0,0,0,0,10,10,0,0,-1,364,0
86,0,NA,2,0,22.66667,0,7.377708,3,3,0,1,184,1184,0
87,0,NA,3,0,59.0625,0,10.56077,28,28,0,1,83,344,0
88,0,NA,1,0,0,0,0,3,3,0,0,102,381,0
89,0,NA,1,0,0,0,0,68,68,0,0,20,102,0
90,0,NA,1,0,0,0,0,112,112,0,0,180,636,0
91,0,NA,1,0,0,0,0,166,166,0,0,79,743,0
92,0,NA,1,0,0,0,0,39,39,0,0,43,109,0
93,0,NA,1,0,0,0,0,154,154,0,0,166,913,0
94,0,NA,5,0,19.75,0,-13.11425,28,28,0,1,115,3855,0
95,0,NA,1,0,0,0,0,63,63,0,0,63,536,0
96,0,NA,1,0,0,0,0,42,42,0,0,51,99,0
97,0,NA,1,0,0,0,0,22,22,0,0,76,175,0
98,0,NA,1,0,0,0,0,184,184,0,0,130,301,0
99,0,NA,4,0,7.986111,0,-29.09302,35,35,0,1,187,465,0
100,1,1,4,0,9.486111,0,3.196425,3,3,0,1,148,2918,0
101,0,NA,1,0,0,0,0,89,89,0,0,69,258,0
102,0,NA,1,0,0,0,0,135,135,0,0,181,5374,0
103,0,NA,1,0,0,0,0,137,137,0,0,154,348,0
104,1,1,1,0,0,0,0,79,79,0,0,5,118,0
105,0,NA,4,0,19.33333,0,-17.5754,32,32,0,1,155,970,0
106,0,NA,2,0,0.0416667,0,-160.0011,160,160,0,1,177,1374,0
107,0,NA,1,0,0,0,0,12,12,0,0,3,36,0
108,0,NA,1,0,0,0,0,54,54,0,0,5,52,0
109,0,NA,2,0,1.416667,0,-36.05544,36,36,0,1,57,155,0
110,0,NA,1,0,0,0,0,52,52,0,0,0,510,0
111,0,NA,1,0,0,0,0,100,100,0,0,101,361,0
112,0,NA,2,0,4,0,-3.318346,5,5,0,1,15,42,0
113,0,NA,1,0,0,0,0,15,15,0,0,7,100,0
114,0,NA,1,0,0,0,0,12,12,0,0,-1,414,0
115,0,NA,2,0,70.25,0,19.21215,15,15,0,1,118,244,0
116,0,NA,1,0,0,0,0,56,56,0,0,-1,1663,0
117,0,NA,1,0,0,0,0,172,172,0,0,159,883,0
118,1,1,2,0,0.5416667,0,-59.03211,59,59,0,1,39,947,0
119,0,NA,1,0,0,0,0,38,38,0,0,23,82,0
120,0,NA,1,0,0,0,0,166,166,0,0,167,424,0
121,0,NA,1,0,0,0,0,80,80,0,0,72,288,0
122,0,NA,1,0,0,0,0,91,91,0,0,135,219,0
123,0,NA,1,0,0,0,0,43,43,0,0,7,21,0
124,0,NA,1,0,0,0,0,130,130,0,0,45,85,0
125,0,NA,1,0,0,0,0,96,96,0,0,162,1183,0
126,0,NA,1,0,0,0,0,7,7,0,0,177,1356,0
127,1,1,2,0,24.625,0,9.345117,2,2,0,1,92,243,0
128,0,NA,1,0,0,0,0,70,70,0,0,97,778,0
129,0,NA,1,0,0,0,0,147,147,0,0,80,183,0
130,0,NA,2,0,68.04166,0,16.31992,17,17,0,1,63,211,0
131,0,NA,1,0,0,0,0,8,8,0,0,-1,691,0
132,0,NA,1,0,0,0,0,15,15,0,0,59,81,0
133,0,NA,2,0,93.375,0,-11.26192,57,57,0,1,155,8396,0
134,0,NA,1,0,0,0,0,60,60,0,0,144,377,0
135,0,NA,1,0,0,0,0,20,20,0,0,152,601,0
136,0,NA,2,0,0.125,0,-152.7635,152,152,0,1,75,268,0
137,0,NA,2,0,2,0,-39.78109,40,40,0,1,105,368,0
138,0,NA,1,0,0,0,0,58,58,0,0,14,76,0
139,0,NA,1,0,0,0,0,114,114,0,0,174,1545,0
140,0,NA,1,0,0,0,0,17,17,0,0,52,595,0
141,0,NA,1,0,0,0,0,98,98,0,0,44,109,0
142,0,NA,1,0,0,0,0,29,29,0,0,170,533,0
143,0,NA,1,0,0,0,0,20,20,0,0,27,139,0
144,0,NA,1,0,0,0,0,80,80,0,0,145,3975,0
145,1,1,1,0,0,0,0,0,0,0,0,141,713,0
146,0,NA,1,0,0,0,0,16,16,0,0,9,34,0
147,0,NA,1,0,0,0,0,182,182,0,0,175,378,0
148,0,NA,3,0,19.47917,0,-122.0352,135,135,0,1,32,339,0
149,0,NA,1,0,0,0,0,52,52,0,0,132,188,0
150,0,NA,1,0,0,0,0,165,165,0,0,24,40,0
